"Version","Task","Concept","Att 1 - Brand","Att 2 - Verified Buyer Ratings","Att 3 - Mattress Type","Att 4 - Firmness","Att 5 - Trial Period","Att 6 - Warranty","Att 7 - Price (Queen)"
3,10,3,7,1,5,3,2,3,7
3,10,4,16,3,3,5,1,1,6
3,11,1,8,4,1,5,4,3,5
3,11,2,13,5,3,2,1,1,4
3,11,3,3,3,2,1,3,4,1
3,11,4,15,2,4,4,2,2,6
3,12,1,10,1,5,3,4,2,4
3,12,2,6,5,3,1,1,1,1
3,12,3,1,3,4,4,2,3,7
3,12,4,2,2,1,2,3,4,6
4,1,1,9,4,2,5,3,1,5
4,1,2,16,1,5,3,1,4,7
4,1,3,1,5,3,4,2,3,3
4,1,4,11,3,4,1,4,2,2
4,2,1,5,4,1,2,2,2,1
4,2,2,15,3,3,3,3,3,3
4,2,3,12,5,4,1,1,4,2
4,2,4,14,2,2,5,4,1,6
4,3,1,7,1,1,4,2,2,1
4,3,2,2,4,2,5,4,3,5
4,3,3,6,5,4,3,3,1,7
4,3,4,8,2,5,2,1,4,4
4,4,1,3,4,3,1,1,4,5
4,4,2,13,1,2,4,3,3,3
4,4,3,4,2,1,5,4,2,2
4,4,4,10,3,5,2,2,1,6
4,5,1,6,2,5,2,3,2,2
4,5,2,2,5,3,4,2,4,4
4,5,3,4,1,1,3,1,3,5
4,5,4,1,4,2,1,4,1,3
4,6,1,12,1,3,1,3,3,7
4,6,2,10,4,1,3,4,4,4
4,6,3,11,3,4,5,1,2,1
4,6,4,13,5,5,4,2,1,6
4,7,1,16,1,5,3,4,2,1
4,7,2,3,4,1,1,3,4,6
4,7,3,8,3,2,2,2,1,5
4,7,4,9,2,4,5,1,3,4
4,8,1,14,4,5,3,3,3,1
4,8,2,15,2,2,2,1,2,7
4,8,3,5,5,4,5,2,1,2
4,8,4,7,3,3,4,4,4,3
4,9,1,12,3,2,1,4,1,3
4,9,2,16,1,3,5,2,2,4
4,9,3,10,5,1,4,3,3,5
4,9,4,4,2,4,2,1,4,6
4,10,1,6,5,4,4,4,1,6
4,10,2,2,2,5,5,1,4,7
4,10,3,3,4,3,3,2,2,2
4,10,4,5,1,1,2,3,3,4
4,11,1,7,5,4,4,3,3,2
4,11,2,1,4,3,5,2,1,1
4,11,3,15,1,1,2,1,4,5
4,11,4,9,3,2,1,4,2,3
4,12,1,13,2,5,3,2,3,7
4,12,2,8,3,2,1,4,1,1
4,12,3,11,5,4,4,1,4,2
4,12,4,14,1,3,5,3,2,3
5,1,1,3,2,1,3,2,2,7
5,1,2,1,3,2,2,1,3,6
5,1,3,16,5,3,5,3,4,5
5,1,4,10,4,5,1,4,1,4
5,2,1,2,3,5,3,3,3,2
5,2,2,7,1,1,4,2,4,5
5,2,3,8,4,4,1,1,2,3
5,2,4,14,2,2,2,4,1,6
5,3,1,15,1,3,4,3,3,6
5,3,2,13,4,5,5,4,2,4
5,3,3,5,5,4,1,2,1,1
5,3,4,11,2,2,3,1,4,7
5,4,1,9,2,3,4,4,2,2
5,4,2,6,5,2,1,3,4,1
5,4,3,4,4,5,3,2,1,7
5,4,4,12,3,1,2,1,3,5
5,5,1,16,2,3,3,4,2,1
5,5,2,11,4,5,4,2,1,5
5,5,3,8,1,1,2,3,3,3
5,5,4,4,3,4,5,1,4,4
5,6,1,1,5,1,1,1,4,3
5,6,2,15,1,2,5,3,2,4
5,6,3,14,2,3,3,4,1,7
5,6,4,6,3,4,2,2,3,6
5,7,1,10,3,4,2,1,3,2
5,7,2,13,1,5,1,4,1,5
5,7,3,3,4,1,5,3,4,7
5,7,4,9,5,2,4,2,2,6
5,8,1,12,1,2,1,2,4,1
5,8,2,2,5,4,2,1,3,3
5,8,3,5,3,1,3,4,2,2
5,8,4,7,4,5,4,3,1,4
5,9,1,4,3,2,4,2,2,5
5,9,2,14,2,3,5,3,4,7
5,9,3,1,4,1,1,1,3,6
5,9,4,6,5,5,3,4,1,1
5,10,1,16,3,1,4,1,2,2
5,10,2,12,5,5,3,3,4,1
5,10,3,11,2,4,5,4,3,4
5,10,4,15,1,3,2,2,1,3
5,11,1,8,2,4,2,2,2,3
5,11,2,2,1,2,1,1,1,4
5,11,3,13,4,3,5,3,3,2
5,11,4,9,3,5,4,4,4,5
5,12,1,10,2,1,1,4,1,3
5,12,2,7,1,3,5,2,4,5
5,12,3,5,5,4,3,3,2,6
5,12,4,3,4,2,2,1,3,7
6,1,1,16,4,5,2,1,3,1
6,1,2,2,3,2,5,4,1,2
6,1,3,11,5,4,3,2,4,6
6,1,4,12,1,3,4,3,2,7
6,2,1,9,4,4,3,4,3,3
6,2,2,4,5,2,2,1,1,7
6,2,3,10,2,1,1,3,2,4
6,2,4,6,3,5,4,2,4,5
6,3,1,8,2,3,1,4,1,2
6,3,2,13,4,2,3,1,4,1
6,3,3,1,1,1,5,2,3,4
6,3,4,7,5,5,2,3,2,6
6,4,1,5,2,3,1,4,1,7
6,4,2,15,1,1,4,2,3,6
6,4,3,14,4,5,2,1,4,3
6,4,4,3,3,4,5,3,2,2
6,5,1,14,5,2,1,1,4,4
6,5,2,1,3,1,4,3,3,3
6,5,3,6,2,3,5,4,1,1
6,5,4,7,1,4,3,2,2,5
6,6,1,11,3,2,1,1,3,1
6,6,2,4,1,5,2,2,1,6
6,6,3,5,4,1,4,4,4,7
6,6,4,10,5,3,3,3,2,4
6,7,1,13,3,5,2,3,2,2
6,7,2,2,4,1,4,4,3,1
6,7,3,12,2,4,5,1,4,5
6,7,4,16,1,2,1,2,1,4
6,8,1,8,2,3,5,3,4,3
6,8,2,3,5,4,3,2,2,2
6,8,3,9,4,2,4,1,3,7
6,8,4,15,1,1,1,4,1,6
6,9,1,6,2,3,5,1,2,5
6,9,2,11,3,4,2,2,1,3
6,9,3,14,5,5,3,3,3,2
6,9,4,10,4,1,4,4,4,1
6,10,1,4,2,5,3,1,2,4
6,10,2,5,5,2,5,3,1,6
6,10,3,16,3,4,2,4,4,5
6,10,4,15,1,3,1,2,3,7
6,11,1,13,1,4,4,2,1,6
6,11,2,2,5,2,5,4,3,5
6,11,3,7,4,3,1,1,4,3
6,11,4,9,2,1,3,3,2,2
6,12,1,12,1,4,3,1,4,2
6,12,2,3,4,3,4,3,2,7
6,12,3,1,3,5,2,4,1,4
6,12,4,8,2,2,5,2,3,1
7,1,1,8,3,1,2,1,4,3
7,1,2,7,4,3,4,3,2,4
7,1,3,14,1,2,5,2,3,1
7,1,4,1,5,5,1,4,1,6
7,2,1,3,2,5,2,2,3,4
7,2,2,5,1,2,5,3,4,6
7,2,3,12,3,1,3,1,2,5
7,2,4,16,5,4,1,4,1,7
7,3,1,15,3,5,1,2,1,3
7,3,2,6,5,1,3,1,2,7
7,3,3,11,2,3,2,4,3,1
7,3,4,13,4,4,4,3,4,5
7,4,1,2,2,5,4,1,2,2
7,4,2,4,1,2,3,4,3,6
7,4,3,10,5,4,1,3,4,1
7,4,4,9,4,3,5,2,1,5
7,5,1,12,2,2,4,1,1,4
7,5,2,9,1,3,3,4,2,3
7,5,3,3,3,1,2,2,4,2
7,5,4,15,4,5,5,3,3,7
7,6,1,8,1,3,4,3,1,2
7,6,2,13,3,4,2,4,3,1
7,6,3,6,5,1,1,1,2,5
7,6,4,16,4,2,5,2,4,6
7,7,1,1,4,3,4,4,4,1
7,7,2,11,5,5,1,2,3,3
7,7,3,10,3,1,3,1,2,7
7,7,4,7,2,4,2,3,1,4
7,8,1,2,5,4,2,3,3,4
7,8,2,4,3,5,3,4,4,7
7,8,3,14,1,1,1,2,2,2
7,8,4,5,2,2,5,1,1,3
7,9,1,7,4,4,1,1,2,4
7,9,2,11,1,5,2,4,4,6
7,9,3,10,2,1,5,3,1,5
7,9,4,8,3,2,4,2,3,2
7,10,1,3,4,4,1,4,2,7
7,10,2,12,5,3,3,2,3,1
7,10,3,15,1,5,5,1,4,3
7,10,4,16,3,1,4,3,1,5
7,11,1,2,5,2,3,1,3,6
7,11,2,9,4,1,4,2,1,3
7,11,3,6,2,3,2,3,2,2
7,11,4,14,1,5,5,4,4,7
7,12,1,4,1,1,5,3,4,1
7,12,2,13,5,4,3,4,3,4
7,12,3,1,2,2,2,2,1,6
7,12,4,5,3,3,1,1,2,5
8,1,1,3,4,5,3,3,4,3
8,1,2,13,2,4,2,1,1,6
8,1,3,2,5,3,1,4,3,4
8,1,4,4,3,2,4,2,2,7
8,2,1,8,3,3,5,4,1,5
8,2,2,6,2,5,4,2,3,7
8,2,3,16,5,1,2,3,2,1
8,2,4,12,4,2,1,1,4,2
8,3,1,10,2,3,1,3,1,3
8,3,2,9,3,2,2,2,4,6
8,3,3,11,4,1,4,4,2,4
8,3,4,7,1,4,3,1,3,2
8,4,1,5,5,5,5,2,4,1
8,4,2,1,2,1,2,4,2,3
8,4,3,14,1,4,3,1,3,5
8,4,4,15,4,3,1,3,1,4
8,5,1,9,5,4,3,2,2,7
8,5,2,3,2,3,1,3,3,2
8,5,3,8,3,2,4,4,1,1
8,5,4,6,1,5,5,1,4,6
8,6,1,15,3,5,4,3,1,1
8,6,2,5,1,1,2,4,4,3
8,6,3,2,5,4,3,2,2,5
8,6,4,16,4,2,5,1,3,7
8,7,1,7,1,4,3,4,4,2
8,7,2,11,4,1,2,1,1,6
8,7,3,1,5,5,4,3,2,5
8,7,4,13,3,2,5,2,3,4
8,8,1,12,3,4,3,4,2,3
8,8,2,4,2,3,1,2,3,1
8,8,3,14,1,2,4,1,4,4
8,8,4,10,4,1,2,3,1,7
8,9,1,14,5,5,5,3,1,6
8,9,2,11,2,3,1,1,4,2
8,9,3,5,4,4,2,2,2,5
8,9,4,4,3,2,3,4,3,1
8,10,1,13,1,5,1,1,1,2
8,10,2,10,4,4,2,4,4,4
8,10,3,2,5,3,5,2,3,5
8,10,4,1,2,1,4,3,2,3
8,11,1,7,5,2,5,1,1,6
8,11,2,12,1,5,1,3,3,5
8,11,3,8,3,3,4,2,2,3
8,11,4,3,2,1,3,4,4,7
8,12,1,9,5,2,5,3,2,4
8,12,2,15,3,1,1,2,3,6
8,12,3,6,4,4,2,1,4,1
8,12,4,16,1,3,3,4,1,7
9,1,1,8,3,3,2,3,2,7
9,1,2,15,4,1,3,2,3,3
9,1,3,7,2,5,4,1,1,2
9,1,4,9,1,2,1,4,4,5
9,2,1,1,4,3,3,2,4,2
9,2,2,6,2,4,5,4,3,6
9,2,3,5,5,5,4,1,1,1
9,2,4,3,1,2,2,3,2,4
9,3,1,11,3,5,5,2,1,2
9,3,2,14,2,4,4,3,4,3
9,3,3,2,1,2,2,4,3,6
9,3,4,10,5,1,1,1,2,7
9,4,1,16,3,4,1,3,4,1
9,4,2,13,4,5,4,1,3,7
9,4,3,4,5,3,3,4,2,5
9,4,4,12,2,1,5,2,1,4
9,5,1,9,4,1,5,3,2,1
9,5,2,7,5,5,1,2,3,3
9,5,3,8,3,2,4,4,4,6
9,5,4,13,1,3,2,1,1,2
9,6,1,3,2,4,3,4,3,5
9,6,2,2,1,5,4,3,4,4
9,6,3,12,3,2,5,2,2,7
9,6,4,10,5,1,1,1,1,6
9,7,1,15,3,5,4,4,1,5
9,7,2,14,1,1,5,1,2,4
9,7,3,11,2,3,2,3,3,1
9,7,4,16,4,4,3,2,4,2
9,8,1,6,5,4,1,2,2,3
9,8,2,4,2,2,3,1,1,2
